Org8Codefy,LEANumCode,Org8Code,DistName,fy,eqv,income,cey,townfoundbudget,targetlocacont,mrgf,rlc,townenro,percenttargetcontributionofwealth
000700002017,7,00070000,Amesbury,2017,"1,849,252,600.00","548,616,000.00","15,076,959.00","23,896,220.14","15,076,959.00",3.46%,"15,202,913.00","2,395.00",100%
000700002018,7,00070000,Amesbury,2018,"2,035,493,900.00","568,521,000.00","15,325,400.00","23,278,884.44","15,325,400.00",3.87%,"15,395,280.00","2,288.00",100%
000700002019,7,00070000,Amesbury,2019,"2,035,493,900.00","593,207,000.00","15,968,764.00","24,055,246.00","15,968,764.00",4.11%,"15,968,764.00","2,272.00",100%
000700002020,7,00070000,Amesbury,2020,"2,273,556,700.00","613,383,000.00","17,046,118.00","24,545,919.81","17,046,118.00",4.42%,"16,674,583.00","2,202.00",100%
000700002021,7,00070000,Amesbury,2021,"2,273,556,700.00","675,197,000.00","17,920,142.00","24,233,881.57","17,920,142.00",3.87%,"17,319,889.00","2,131.00",100%
000700002022,7,00070000,Amesbury,2022,"2,652,855,600.00","724,019,000.00","19,103,129.00","24,432,670.76","19,103,129.00",2.65%,"17,952,065.00","2,036.00",100%
000700002023,7,00070000,Amesbury,2023,"2,652,855,600.00","714,427,000.00","20,502,402.00","25,753,425.66","20,502,402.00",5.43%,"19,106,383.00","1,993.00",100%
000700002024,7,00070000,Amesbury,2024,"2,989,453,900.00","733,977,000.00","21,817,407.00","27,399,291.86","21,817,407.00",2.74%,"20,012,026.00","1,964.00",100%
000700002025,7,00070000,Amesbury,2025,"2,989,453,900.00","825,009,000.00","23,483,082.00","29,121,417.38","23,483,082.00",3.23%,"21,058,655.00","2,021.00",100%
000700002026,7,00070000,Amesbury,2026,"3,931,853,000.00","807,867,000.00","25,433,494.00","30,684,451.23","25,314,672.00",3.16%,"22,145,281.00","2,036.00",100%
000800002007,8,00080000,Amherst,2007,"1,633,901,900.00","487,669,000.00","13,479,388.00","23,791,151.71","13,479,388.00",8.22%,"11,213,347.00","2,955.00",100%
